30 3
8 8
18 4
4 1

Barycentric Coordinates (Regular PYR)
  0.915111948139284  0.084888051860717  0.000000000000000  0.000000000000000  0.000000000000000
  0.765560791182355  0.149551156956928 -0.042050816844998  0.042050816844998  0.084888051860717
  0.734424396735357  0.265575603264643  0.000000000000000 -0.000000000000000  0.000000000000000
  0.672080540457511  0.062343856277846  0.022544195582870  0.243031407681773  0.000000000000000
  0.572387775536202  0.342724172603082 -0.015677582892103  0.015677582892103  0.084888051860717
  0.528799002443179  0.205625394292178 -0.078810009514646  0.078810009514646  0.265575603264643
  0.506989727598235  0.300621880429118  0.026424709281861  0.081075630830069  0.084888051860717
  0.305901699437495  0.194098300562505 -0.055901699437495  0.055901699437495  0.500000000000000
  1.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000
  0.860147535070412  0.054964413068871 -0.054964413068871  0.054964413068871  0.084888051860717
  0.837429877627275  0.077682070512009  0.007205981348708  0.077682070512009  0.000000000000000
  0.680568382905109  0.127043225122244 -0.019542885010314  0.127043225122244  0.084888051860717
  0.614040118695006  0.120384278040351 -0.120384278040351  0.120384278040351  0.265575603264643
  0.539379194520093  0.195045202215264  0.070530401049379  0.195045202215264  0.000000000000000
  0.500000000000000  0.500000000000000  0.000000000000000  0.000000000000000  0.000000000000000
  0.457555974069642  0.457555974069642  0.042444025930358  0.042444025930358  0.000000000000000
  0.451097978978338  0.156511032979487 -0.029695648201955  0.156511032979487  0.265575603264643
  0.375000000000000  0.125000000000000 -0.125000000000000  0.125000000000000  0.500000000000000
  0.373428325458206  0.214637032970098  0.112409556740881  0.214637032970098  0.084888051860717
  0.367212198367679  0.367212198367679  0.132787801632321  0.132787801632321  0.000000000000000
  0.367212198367679  0.367212198367679  0.000000000000000  0.000000000000000  0.265575603264643
  0.303804505978913  0.303804505978913  0.063407692388766  0.063407692388766  0.265575603264643
  0.236803398874989  0.125000000000000  0.013196601125011  0.125000000000000  0.500000000000000
  0.190914679089730  0.074660924174912 -0.074660924174912  0.074660924174912  0.734424396735357
  0.132787801632322  0.000000000000000  0.000000000000000  0.132787801632321  0.734424396735357
  0.062170394417579  0.022717657443138 -0.022717657443138  0.022717657443138  0.915111948139284
  0.250000000000000  0.250000000000000  0.250000000000000  0.250000000000000  0.000000000000000
  0.183606099183839  0.183606099183839  0.183606099183839  0.183606099183839  0.265575603264643
  0.066393900816161  0.066393900816161  0.066393900816161  0.066393900816161  0.734424396735357
  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000  1.000000000000000
