14 3
2 8
9 4
3 1

Barycentric Coordinates (Regular PYR)
  0.682907370484052  0.225473030781635 -0.005532905941957  0.050242427645602  0.046910077030668
  0.446614834467556  0.269210439860129 -0.015355712726959  0.068765093452116  0.230765344947158
  0.839094011954267  0.069286389311420 -0.024576867607775  0.069286389311420  0.046910077030668
  0.582585996039931  0.133239278287753 -0.079829897562596  0.133239278287753  0.230765344947158
  0.554545673754363  0.178604124375290  0.041336000464389  0.178604124375290  0.046910077030668
  0.454190200632844  0.022354760851822  0.022354760851822  0.454190200632844  0.046910077030668
  0.366574899064827  0.109970062419839  0.109970062419839  0.366574899064827  0.046910077030668
  0.332278474245101  0.183101453674571  0.070753273458599  0.183101453674571  0.230765344947158
  0.318649167310371  0.125000000000000 -0.068649167310371  0.125000000000000  0.500000000000000
  0.221824583655185  0.221824583655185  0.028175416344815  0.028175416344815  0.500000000000000
  0.121917977023666  0.060080912462353 -0.011314457001213  0.060080912462353  0.769234655052841
  0.238272480742333  0.238272480742333  0.238272480742333  0.238272480742333  0.046910077030668
  0.125000000000000  0.125000000000000  0.125000000000000  0.125000000000000  0.500000000000000
  0.011727519257667  0.011727519257667  0.011727519257667  0.011727519257667  0.953089922969332
