20 3
5 8
12 4
3 1

Barycentric Coordinates (Regular PYR)
  0.882527661964732  0.117472338035268  0.000000000000000  0.000000000000000  0.000000000000000
  0.683222990210263  0.199304671754469 -0.046915827475374  0.046915827475374  0.117472338035268
  0.642615758240323  0.357384241759677 -0.000000000000000  0.000000000000000  0.000000000000000
  0.567126182661526  0.315401479303207  0.041982762456471  0.075489575578797  0.000000000000000
  0.406323579717547  0.236292178522776 -0.058677551286408  0.058677551286408  0.357384241759677
  1.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000
  0.810862551732270  0.071665110232463 -0.071665110232463  0.071665110232463  0.117472338035268
  0.778855074132937  0.103672587831795  0.013799750203472  0.103672587831795  0.000000000000000
  0.573349818733905  0.156788998951732 -0.004400154672636  0.156788998951732  0.117472338035268
  0.511408764810684  0.131206993429639 -0.131206993429639  0.131206993429639  0.357384241759677
  0.441263830982366  0.441263830982366  0.000000000000000  0.000000000000000  0.117472338035268
  0.412955012738785  0.229660745501538  0.127723496258140  0.229660745501538  0.000000000000000
  0.365069408842818  0.365069408842818  0.076194422139548  0.076194422139548  0.117472338035268
  0.310236580669962  0.154764550333992  0.022850076902376  0.154764550333992  0.357384241759677
  0.258930489687778  0.098453752071899 -0.098453752071899  0.098453752071899  0.642615758240323
  0.178692120879839 -0.000000000000000  0.000000000000000  0.178692120879839  0.642615758240323
  0.085464860435935  0.032007477599333 -0.032007477599333  0.032007477599333  0.882527661964732
  0.220631915491183  0.220631915491183  0.220631915491183  0.220631915491183  0.117472338035268
  0.089346060439919  0.089346060439919  0.089346060439919  0.089346060439919  0.642615758240323
  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000  1.000000000000000
