Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function CL
1 1.219617e+01 2.140887e+00 8.263907e-03 1.114395e-01
2 2.582645e+01 2.232643e+00 3.284483e-03 3.210492e-01
3 3.803503e+01 2.221997e+00 1.076098e-03 2.863918e-01
4 5.011939e+01 1.160636e+00 1.145054e-04 2.248669e-01
5 6.096515e+01 3.523383e-01 2.888208e-05 2.476003e-01
6 7.221466e+01 1.802729e-01 4.359539e-07 2.409338e-01
7 8.216904e+01 2.199721e-02 1.722866e-09 2.399413e-01
8 9.199542e+01 1.381522e-03 9.389185e-14 2.400004e-01
