Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 1.44000000000000e-04 2.71104586354090e+00 3.12499745547249e-02 1.01781121229573e-07 -5.75626322401363e-08 1.00000000000000e+00 
1 4.94264070000000e+01 3.44053390916696e-01 5.82940542182800e-04 2.15854999130684e-01 -1.19794785808321e-01 1.00000000000000e+00 
2 9.43536370000000e+01 2.39229934396055e-01 2.80980930695880e-04 2.26294265221433e-01 -1.25539941704458e-01 1.00000000000000e+00 
3 1.36065389000000e+02 2.38867436385977e-01 2.80119267946085e-04 2.26330641413588e-01 -1.25500085402331e-01 9.99999999999999e-01 
4 1.76470562000000e+02 2.33518719635200e-01 2.67601976675086e-04 2.26865524571537e-01 -1.25500979056633e-01 9.99999999999999e-01 
5 2.21885172000000e+02 2.07318288896264e-01 2.10497621482497e-04 2.29481831393494e-01 -1.25506280340165e-01 1.00000000000000e+00 
6 2.64917107000000e+02 8.96419829928988e-02 3.90258923736547e-05 2.41165307886106e-01 -1.25553902756992e-01 1.00000000000000e+00 
7 3.11215454000000e+02 1.70545416373547e-03 1.40489558434521e-08 2.50167624317111e-01 -1.25529979138420e-01 9.99999999999999e-01 
8 3.55332709000000e+02 1.49330711938419e-05 1.07723036019095e-12 2.49998532191865e-01 -1.25499789196191e-01 1.00000000000000e+00 
9 3.94702506000000e+02 2.33953938633944e-07 2.64405597111866e-16 2.49999977004105e-01 -1.25500001861816e-01 9.99999999999997e-01 
