Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 1.25000000000000e-04 2.62540949378425e+00 3.12500172145076e-02 -6.88580209716262e-08 -1.27101503924873e-09 1.00000000000000e+00 
1 1.78179955000000e+02 3.26539498096811e-01 3.36016219348991e-04 2.24076411538948e-01 -1.23099406067087e-01 1.00000000000000e+00 
2 3.12811334000000e+02 3.29476456909075e-01 2.24611542157817e-04 2.28805116553384e-01 -1.25610430550337e-01 9.99999999999999e-01 
3 4.25817208000000e+02 3.27547511175882e-01 2.26862457517934e-04 2.28699180413987e-01 -1.25500038541886e-01 1.00000000000000e+00 
4 5.49827691000000e+02 3.25081590680270e-01 2.15794800716548e-04 2.29225265310164e-01 -1.25502887707191e-01 9.99999999999999e-01 
5 6.84536728000000e+02 3.16069367448566e-01 1.65323838926588e-04 2.31816279867608e-01 -1.25526578574765e-01 9.99999999999999e-01 
6 8.28870115000000e+02 3.03086336219393e-02 6.52620784898013e-06 2.46387187287174e-01 -1.27013890431035e-01 1.00000000000000e+00 
7 9.59233991000000e+02 2.41321643803377e-02 3.37299801249449e-07 2.49178659874048e-01 -1.25016536952767e-01 9.99999999999998e-01 
8 1.51533740600000e+03 9.47011095632679e-03 6.48003645972546e-07 2.51138423160317e-01 -1.25362246510034e-01 1.00000000000000e+00 
9 1.63824132300000e+03 4.55114899764159e-03 1.49639093906869e-07 2.50547063239319e-01 -1.25499000669238e-01 9.99999999999997e-01 
10 1.76356770800000e+03 4.25257304749109e-04 1.30587443490867e-09 2.50051105272427e-01 -1.25499147199807e-01 1.00000000000000e+00 
11 1.87491304600000e+03 3.05789276604251e-08 6.75184545156511e-18 2.50000003674737e-01 -1.25499911829232e-01 1.00000000000000e+00 
12 1.97228453700000e+03 1.92946459265163e-08 2.68813904577748e-18 2.49999997681320e-01 -1.25499999995756e-01 1.00000000000000e+00 
