Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 4.40000000000000e-05 3.40561358263265e+00 3.12516617925566e-02 -6.64708185914100e-06 1.64367439797752e-06 1.00000000000000e+00 
1 9.85681300000000e+00 9.94500851887257e-01 2.88209753422949e-03 1.74077703746139e-01 -1.11519706666787e-01 1.00000000000000e+00 
2 1.91326260000000e+01 7.32771732969810e-01 1.63266358018013e-03 1.92856958775716e-01 -1.24123494844364e-01 9.99999999999999e-01 
3 2.77219890000000e+01 7.04062195549585e-01 1.51233933440985e-03 1.95002921270128e-01 -1.25485737042772e-01 1.00000000000000e+00 
4 3.62411850000000e+01 7.01708593257925e-01 1.50209599178037e-03 1.95189490208896e-01 -1.25499812881816e-01 1.00000000000000e+00 
5 4.47633750000000e+01 6.91578203831954e-01 1.45796882752767e-03 1.96000577271092e-01 -1.25493959439963e-01 9.99999999999999e-01 
6 5.37570590000000e+01 6.44955469751107e-01 1.26158880136613e-03 1.99768758698075e-01 -1.25358810892580e-01 1.00000000000000e+00 
7 6.28315060000000e+01 4.78934040863196e-01 6.71100944444103e-04 2.13363926399132e-01 -1.23532519099001e-01 1.00000000000000e+00 
8 7.18734030000000e+01 1.87887313365774e-01 1.01571529221783e-04 2.35747173668231e-01 -1.24493901006989e-01 1.00000000000000e+00 
9 8.07591670000000e+01 3.59559286798895e-02 3.74142490486749e-06 2.47264520186561e-01 -1.25447075150273e-01 1.00000000000000e+00 
10 8.95418540000000e+01 1.90726421684870e-03 1.05390285586774e-08 2.49854817159701e-01 -1.25497426112832e-01 9.99999999999999e-01 
11 9.76596970000000e+01 1.77470299479106e-05 9.12562177870167e-13 2.49998649028366e-01 -1.25500009812738e-01 9.99999999999998e-01 
12 1.04913150000000e+02 1.46196683006080e-08 6.19278975037995e-19 2.49999998887095e-01 -1.25500000159218e-01 1.00000000000000e+00 
