Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 1.57000000000000e-04 2.62515746323637e+00 3.12500172176791e-02 -6.88707070044061e-08 -1.24063011847879e-09 1.00000000000000e+00 
1 1.77491659000000e+02 3.25434950866792e-01 3.37285375747606e-04 2.24027500091535e-01 -1.23077952755153e-01 1.00000000000000e+00 
2 3.18863686000000e+02 3.27208202066373e-01 2.24833232957365e-04 2.28794659495431e-01 -1.25610523868821e-01 9.99999999999999e-01 
3 4.33212652000000e+02 3.25348269811107e-01 2.27087849169827e-04 2.28688601680330e-01 -1.25500035308827e-01 9.99999999999998e-01 
4 5.57426024000000e+02 3.22790364817240e-01 2.16020447381723e-04 2.29214406557343e-01 -1.25502871424750e-01 1.00000000000000e+00 
5 6.79733548000000e+02 3.13100176987541e-01 1.65558933370432e-04 2.31803355618662e-01 -1.25526167592385e-01 1.00000000000000e+00 
6 8.25242053000000e+02 3.09042510546929e-02 6.78446778749503e-06 2.46316396387369e-01 -1.26992504789788e-01 9.99999999999998e-01 
7 9.51747223000000e+02 1.94595813699340e-02 2.43822936702813e-07 2.49301683543509e-01 -1.25080048869585e-01 1.00000000000000e+00 
8 1.07496074200000e+03 7.58675845146479e-03 4.15246851689953e-07 2.50911314272565e-01 -1.25462187424593e-01 1.00000000000000e+00 
9 1.20117899400000e+03 3.76811112616744e-03 1.02415922267456e-07 2.50452583522165e-01 -1.25499216628498e-01 1.00000000000000e+00 
10 1.32589092100000e+03 4.25804542818131e-05 1.30743089186717e-11 2.50005113571926e-01 -1.25499232709834e-01 9.99999999999999e-01 
11 1.43619274200000e+03 3.48385981023503e-09 8.75223974666401e-20 2.50000000418384e-01 -1.25499991232913e-01 1.00000000000000e+00 
