Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 1.42000000000000e-04 2.62624045256034e+00 3.12500177062440e-02 -7.08249659317087e-08 -1.18202744219571e-09 1.00000000000000e+00 
1 1.84791529000000e+02 3.20780324142967e-01 3.39239716416952e-04 2.23952362240811e-01 -1.23033833705338e-01 1.00000000000000e+00 
2 3.25282164000000e+02 3.15122225509760e-01 2.25169861177050e-04 2.28778790742418e-01 -1.25602086058027e-01 9.99999999999999e-01 
3 4.42482755000000e+02 3.13793536307409e-01 2.27084849449105e-04 2.28688742437430e-01 -1.25500028409271e-01 1.00000000000000e+00 
4 5.69745682000000e+02 3.10536378989120e-01 2.16154141049452e-04 2.29207975517067e-01 -1.25502587124851e-01 1.00000000000000e+00 
5 6.94609115000000e+02 2.96046727097362e-01 1.66356099051978e-04 2.31759599837066e-01 -1.25522029752175e-01 9.99999999999999e-01 
6 9.54450831000000e+02 2.95324019231584e-02 6.20525379376555e-06 2.46477144966433e-01 -1.27178629354657e-01 1.00000000000000e+00 
7 1.08716436300000e+03 1.23572521935318e-02 1.37507809038906e-07 2.49475580684873e-01 -1.25282378652165e-01 1.00000000000000e+00 
8 1.21018814300000e+03 2.83678043939841e-03 5.78968100744721e-08 2.50340284616386e-01 -1.25517523644863e-01 9.99999999999998e-01 
9 1.32549375100000e+03 1.34843718292661e-03 1.30798954707769e-08 2.50161739886675e-01 -1.25499692063212e-01 1.00000000000000e+00 
10 1.44058538300000e+03 1.60364215655867e-05 1.84980218269962e-12 2.50001923435563e-01 -1.25499725741947e-01 1.00000000000000e+00 
11 1.54315691800000e+03 1.80800153456493e-09 2.35129926810392e-20 2.50000000216855e-01 -1.25499996713475e-01 9.99999999999996e-01 
