Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 1.15000000000000e-04 2.92130980013984e+00 3.12497968073498e-02 8.12771922185730e-07 -1.39743048482061e-08 1.00000000000000e+00 
1 2.01568090000000e+01 6.08508605347691e-01 1.76054699387301e-03 1.90661193239617e-01 -1.13467085571115e-01 9.99999999999999e-01 
2 3.70835560000000e+01 3.92706654072897e-01 7.84921426646023e-04 2.10378757549869e-01 -1.25263059189506e-01 1.00000000000000e+00 
3 5.30565850000000e+01 3.86952790131394e-01 7.63021457654922e-04 2.10935400740442e-01 -1.25500776341091e-01 1.00000000000000e+00 
4 6.91111680000000e+01 3.78110579149285e-01 7.28499933426611e-04 2.11829332376113e-01 -1.25501401182444e-01 1.00000000000000e+00 
5 8.71176490000000e+01 3.34887480482781e-01 5.71229657468137e-04 2.16199714277298e-01 -1.25506611596079e-01 9.99999999999999e-01 
6 1.04759888000000e+02 1.44353597492622e-01 1.05978644024183e-04 2.35441247029764e-01 -1.25472500289477e-01 1.00000000000000e+00 
7 1.22178474000000e+02 2.74597444029153e-03 3.83098051440809e-08 2.49723197524780e-01 -1.25498788533324e-01 9.99999999999998e-01 
8 1.37751336000000e+02 3.02939812642303e-05 4.66272436838399e-12 2.49996946240229e-01 -1.25500565808128e-01 9.99999999999999e-01 
9 1.53120822000000e+02 1.21309139479538e-07 7.47675089880904e-17 2.49999987771549e-01 -1.25500006960906e-01 1.00000000000000e+00 
