Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 4.30000000000000e-05 3.32724649661505e+00 3.12517853804618e-02 -7.14141984734359e-06 1.81467657864706e-06 1.00000000000000e+00 
1 9.21167700000000e+00 9.78859496816255e-01 2.98066051844009e-03 1.72790408388075e-01 -1.10994790549076e-01 1.00000000000000e+00 
2 1.80867880000000e+01 7.16794163170358e-01 1.66825431823829e-03 1.92237480694861e-01 -1.24051065194487e-01 9.99999999999999e-01 
3 2.56836030000000e+01 6.87733335129622e-01 1.54060837650721e-03 1.94491291196656e-01 -1.25484593452100e-01 1.00000000000000e+00 
4 3.31839650000000e+01 6.85502143268494e-01 1.53034856400865e-03 1.94676432435920e-01 -1.25499799985936e-01 1.00000000000000e+00 
5 4.03576880000000e+01 6.76040594876065e-01 1.48668427649921e-03 1.95471396927865e-01 -1.25493609316509e-01 1.00000000000000e+00 
6 4.85213860000000e+01 6.32705539450171e-01 1.29275883280717e-03 1.99152014143977e-01 -1.25351030388753e-01 1.00000000000000e+00 
7 5.72024520000000e+01 4.81057003784647e-01 7.12897996541095e-04 2.12240286109635e-01 -1.23420725964659e-01 9.99999999999998e-01 
8 6.69023980000000e+01 2.01456458586754e-01 1.20809146848449e-04 2.34455924160733e-01 -1.24326726046398e-01 1.00000000000000e+00 
9 7.54683470000000e+01 4.30895714667001e-02 5.51661553669369e-06 2.46678369214770e-01 -1.25413995317238e-01 9.99999999999999e-01 
10 8.38585450000000e+01 2.81120496092291e-03 2.34654378750099e-08 2.49783364647968e-01 -1.25494597596589e-01 1.00000000000000e+00 
11 9.17326770000000e+01 3.67808032940736e-05 4.01677400572735e-12 2.49997165648573e-01 -1.25499999176033e-01 1.00000000000000e+00 
12 9.84294250000000e+01 4.72577726919424e-08 6.63103208925688e-18 2.49999996358288e-01 -1.25500000272325e-01 9.99999999999999e-01 
