Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 6.20000000000000e-05 3.41315694477404e+00 3.12516607262649e-02 -6.64281680555291e-06 1.64674498243882e-06 1.00000000000000e+00 
1 9.88814000000000e+00 9.94346818076470e-01 2.86995076377694e-03 1.74237862176719e-01 -1.11601409101042e-01 9.99999999999999e-01 
2 1.85531770000000e+01 7.33190632241156e-01 1.62839145186097e-03 1.92931769751271e-01 -1.24143768016892e-01 9.99999999999999e-01 
3 2.63349000000000e+01 7.04813858969971e-01 1.50987358384944e-03 1.95047773769401e-01 -1.25486197794422e-01 1.00000000000000e+00 
4 3.36943220000000e+01 7.02465499717792e-01 1.49965634061527e-03 1.95234018942134e-01 -1.25499813915745e-01 1.00000000000000e+00 
5 4.10217030000000e+01 6.92316020935134e-01 1.45545822748588e-03 1.96047090393828e-01 -1.25494033017656e-01 1.00000000000000e+00 
6 4.93048520000000e+01 6.45547258891556e-01 1.25862698263503e-03 1.99827757023728e-01 -1.25360565712790e-01 1.00000000000000e+00 
7 5.75594910000000e+01 4.78109898860593e-01 6.65437912822734e-04 2.13518829162903e-01 -1.23556314624118e-01 1.00000000000000e+00 
8 6.57598630000000e+01 1.85657419346427e-01 9.85976816717337e-05 2.35957373346006e-01 -1.24505642076918e-01 9.99999999999999e-01 
9 7.39891530000000e+01 3.49345281221995e-02 3.50970266505204e-06 2.47350583964323e-01 -1.25449565785533e-01 1.00000000000000e+00 
10 8.19493000000000e+01 1.80360478728149e-03 9.36388619956332e-09 2.49863150548415e-01 -1.25497562751949e-01 9.99999999999999e-01 
11 8.96277820000000e+01 1.61587619178952e-05 7.51652092483573e-13 2.49998773906943e-01 -1.25500009073429e-01 9.99999999999999e-01 
12 9.64310910000000e+01 1.29200893330180e-08 4.80542594390350e-19 2.49999999019650e-01 -1.25500000140526e-01 1.00000000000000e+00 
