Design_Iteration CPU_Time(s) L2_Norm_Gradient_Cost_Function Cost_Function cl cm volume_fractional_change 
0 1.16000000000000e-04 2.68140323806096e+00 3.12499779745669e-02 8.81017481191293e-08 -5.26542772676703e-08 1.00000000000000e+00 
1 5.09538510000000e+01 3.36873701015874e-01 5.71116030657453e-04 2.16203076156033e-01 -1.20106999828260e-01 1.00000000000000e+00 
2 9.50876050000000e+01 2.38816573630176e-01 2.86285607895137e-04 2.26071539627668e-01 -1.25536611571092e-01 9.99999999999999e-01 
3 1.36813520000000e+02 2.38387706076511e-01 2.85227218366940e-04 2.26115811993415e-01 -1.25500095961691e-01 9.99999999999999e-01 
4 1.77073099000000e+02 2.33039587022590e-01 2.72377218492350e-04 2.26660024914651e-01 -1.25500996400667e-01 1.00000000000000e+00 
5 2.21220542000000e+02 2.06816933793950e-01 2.13806692346599e-04 2.29321185123581e-01 -1.25506395579136e-01 1.00000000000000e+00 
6 2.67736643000000e+02 8.87217912285875e-02 3.88413152351814e-05 2.41186224959170e-01 -1.25554650981566e-01 1.00000000000000e+00 
7 3.11954926000000e+02 1.51542349376843e-03 1.12447161029047e-08 2.50149964769882e-01 -1.25528761205002e-01 1.00000000000000e+00 
8 3.51677560000000e+02 1.20608740382855e-05 7.12342966906400e-13 2.49998806397916e-01 -1.25499816843492e-01 1.00000000000000e+00 
9 3.88128555000000e+02 2.15963843809744e-07 2.28398515384871e-16 2.49999978627189e-01 -1.25500001462363e-01 9.99999999999999e-01 
