23 5
5 24
11 12
3 6
4 4
0 1

Barycentric Coordinates (Regular TET)
  0.811267844210837  0.134238847544279  0.054493308244883  0.000000000000000
  0.686584385177678  0.254400396711355  0.059015218110967 -0.000000000000000
  0.564374976224430  0.276451046649890  0.159173977125680  0.000000000000000
  0.543752580401613  0.395246658852567  0.061000760745820  0.000000000000000
  0.431946532296243  0.296553488444527  0.181656044636704  0.089843934622525
  0.967000715204030  0.032999284795970  0.000000000000000  0.000000000000000
  0.907299526977354 -0.000000000000000  0.046350236511323  0.046350236511323
  0.892241736831572  0.107758263168428 -0.000000000000000 -0.000000000000000
  0.782617663498103  0.217382336501897  0.000000000000000  0.000000000000000
  0.699002845473842  0.000000000000000  0.150498577263079  0.150498577263079
  0.691407308907502  0.155393500221697  0.076599595435400  0.076599595435400
  0.647879067793470  0.352120932206530 -0.000000000000000 -0.000000000000000
  0.566292829012037  0.086156422341727  0.173775374323118  0.173775374323118
  0.560229501619351  0.277056313471906  0.081357092454372  0.081357092454372
  0.426647377629040 -0.000000000000000  0.286676311185480  0.286676311185480
  0.161883827332097 -0.000000000000000  0.419058086333951  0.419058086333951
  0.500000000000000  0.500000000000000  0.000000000000000  0.000000000000000
  0.417282567729619  0.417282567729619  0.082717432270381  0.082717432270381
  0.308280046173487  0.308280046173487  0.191719953826513  0.191719953826513
  1.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000
  0.802893228529202  0.065702257156933  0.065702257156933  0.065702257156933
  0.437432496572452  0.187522501142516  0.187522501142516  0.187522501142516
  0.092145715800486  0.302618094733171  0.302618094733171  0.302618094733171
