14 3
2 8
9 4
3 1

Barycentric Coordinates (Regular PYR)
  0.827326835353989  0.172673164646011  0.000000000000000  0.000000000000000  0.000000000000000
  0.556259421562964  0.271067413791025 -0.042399900460160  0.042399900460160  0.172673164646011
  1.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000
  0.732517775685847  0.094809059668142 -0.094809059668142  0.094809059668142  0.172673164646011
  0.684469692496846  0.142857142857143  0.029816021788869  0.142857142857143  0.000000000000000
  0.500000000000000  0.500000000000000  0.000000000000000  0.000000000000000  0.000000000000000
  0.414232143018698  0.184427179004426  0.044240334326439  0.184427179004426  0.172673164646011
  0.413663417676994  0.413663417676994  0.086336582323006  0.086336582323006  0.000000000000000
  0.375000000000000  0.125000000000000 -0.125000000000000  0.125000000000000  0.500000000000000
  0.250000000000000  0.250000000000000  0.000000000000000 -0.000000000000000  0.500000000000000
  0.124625081457011  0.048048083189001 -0.048048083189001  0.048048083189001  0.827326835353989
  0.250000000000000  0.250000000000000  0.250000000000000  0.250000000000000  0.000000000000000
  0.125000000000000  0.125000000000000  0.125000000000000  0.125000000000000  0.500000000000000
  0.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000  1.000000000000000
