20 3
5 8
12 4
3 1

Barycentric Coordinates (Regular PYR)
  0.760713655377506  0.172895950453635 -0.009220317365604  0.041845468636038  0.033765242898424
  0.572871493123835  0.360738112707307  0.007098190191044  0.025526961079390  0.033765242898424
  0.563281442287026  0.228359520804506 -0.036684742255833  0.075648472397434  0.169395306766868
  0.493258838009130  0.309300286004414  0.058536016893937  0.105139616194095  0.033765242898424
  0.347491928019561  0.067439629373436 -0.024439822195965  0.228817857844567  0.380690406958402
  0.881289307347466  0.052320298483676 -0.019695147213242  0.052320298483676  0.033765242898424
  0.677637373905838  0.114003589185694 -0.075039859044093  0.114003589185694  0.169395306766868
  0.656152448179159  0.146406675834385  0.017268957253646  0.146406675834385  0.033765242898424
  0.464345352805696  0.174584561878763  0.017090216669909  0.174584561878763  0.169395306766868
  0.438449376993262  0.137860408870865 -0.094860601693393  0.137860408870865  0.380690406958402
  0.395820481545766  0.395820481545766  0.019481865070800  0.019481865070800  0.169395306766868
  0.369232029651273  0.229166424551952  0.138669878346399  0.229166424551952  0.033765242898424
  0.319464957342230  0.095837389274336  0.095837389274336  0.319464957342230  0.169395306766868
  0.262748822431931  0.152182734961065  0.052195300687536  0.152182734961065  0.380690406958402
  0.237426072873524  0.100359891226758 -0.057455448368638  0.100359891226758  0.619309593041598
  0.168892982050141  0.168892982050141  0.021452221429060  0.021452221429060  0.619309593041598
  0.089667935402664  0.043929930961425 -0.008132490558646  0.043929930961425  0.830604693233132
  0.207651173308283  0.207651173308283  0.207651173308283  0.207651173308283  0.169395306766868
  0.095172601739600  0.095172601739600  0.095172601739600  0.095172601739600  0.619309593041598
  0.008441310724606  0.008441310724606  0.008441310724606  0.008441310724606  0.966234757101576
