39 5
11 24
23 12
0 6
5 4
0 1

Barycentric Coordinates (Regular TET)
  0.881954989572456  0.083120920135903  0.034924090291641  0.000000000000000
  0.800421786958816  0.160163400456929  0.039414812584255  0.000000000000000
  0.717514800707029  0.178051555501835  0.104433643791136 -0.000000000000000
  0.702344401659771  0.255265525367662  0.042390072972568 -0.000000000000000
  0.615599841995007  0.195778323580525  0.123782346705024  0.064839487719443
  0.613052574947122  0.276974406132138  0.109973018920740  0.000000000000000
  0.592831607922470  0.363086927377211  0.044081464700319  0.000000000000000
  0.512008318631722  0.290853059631412  0.197138621736867  0.000000000000000
  0.510387437907487  0.293643052868511  0.129005054444861  0.066964454779141
  0.500738379822185  0.386611892986328  0.112649727191487 -0.000000000000000
  0.410087641395116  0.305750738653910  0.213931982597181  0.070229637353793
  0.979967522633631  0.020032477366369  0.000000000000000  0.000000000000000
  0.942803184205538  0.000000000000000  0.028598407897231  0.028598407897231
  0.933900526915174  0.066099473084826 -0.000000000000000 -0.000000000000000
  0.864434299545663  0.135565700454337  0.000000000000000  0.000000000000000
  0.808672646094891 -0.000000000000000  0.095663676952555  0.095663676952555
  0.798833835755591  0.096922790417996  0.052121686913207  0.052121686913207
  0.775319701464324  0.224680298535676  0.000000000000000  0.000000000000000
  0.711781260941919  0.060525183253609  0.113846777902236  0.113846777902236
  0.711205575150567  0.174750985264203  0.057021719792615  0.057021719792615
  0.671362006671356  0.328637993328644  0.000000000000000  0.000000000000000
  0.619695844696426 -0.000000000000000  0.190152077651787  0.190152077651787
  0.608736963870436  0.271943587789345  0.059659724170109  0.059659724170109
  0.558165934441852  0.441834065558148  0.000000000000000  0.000000000000000
  0.516553221320051  0.211772452144487  0.135837163267731  0.135837163267731
  0.514952077307466  0.068632613931873  0.208207654380330  0.208207654380330
  0.496576699122229  0.381749561406893  0.060836869735439  0.060836869735439
  0.044629547830726  0.000000000000000  0.477685226084637  0.477685226084637
  0.416221973539785  0.142161324325605  0.220808351067305  0.220808351067305
  0.412348282833525  0.308677815845526  0.139486950660475  0.139486950660475
  0.404774896928339  0.000000000000000  0.297612551535831  0.297612551535831
  0.130639757517083  0.067610548617813  0.400874846932552  0.400874846932552
  0.199421531734532  0.000000000000000  0.400289234132734  0.400289234132734
  0.223690851302878  0.144126545987975  0.316091301354574  0.316091301354574
  1.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000
  0.871467989406117  0.042844003531294  0.042844003531294  0.042844003531294
  0.616609751181814  0.127796749606062  0.127796749606062  0.127796749606062
  0.319541865044434  0.226819378318522  0.226819378318522  0.226819378318522
  0.071180953524830  0.309606348825057  0.309606348825057  0.309606348825057
