27 5
6 24
17 12
0 6
4 4
0 1

Barycentric Coordinates (Regular TET)
  0.839202470644997  0.112852043080606  0.047945486274397  0.000000000000000
  0.731247339256888  0.214798867334749  0.053953793408363  0.000000000000000
  0.623682162381621  0.236537259363424  0.139780578254955  0.000000000000000
  0.605354475920836  0.337170960092253  0.057474563986912 -0.000000000000000
  0.502432771321791  0.256411742430078  0.160166150998862  0.080989335249269
  0.493696349645564  0.361298638005099  0.145005012349336  0.000000000000000
  0.972449636111442  0.027550363888559 -0.000000000000000 -0.000000000000000
  0.921517860430384 -0.000000000000000  0.039241069784808  0.039241069784808
  0.909639660822004  0.090360339177997  0.000000000000000  0.000000000000000
  0.816438076515930  0.183561923484070 -0.000000000000000 -0.000000000000000
  0.741661108759707  0.000000000000000  0.129169445620147  0.129169445620147
  0.733384341053925  0.131529134880422  0.067543262032827  0.067543262032827
  0.699765470482675  0.300234529517325 -0.000000000000000 -0.000000000000000
  0.622546559030884  0.076744385875742  0.150354527546687  0.150354527546687
  0.618833408785627  0.235128371383491  0.073019109915441  0.073019109915441
  0.568276466427464  0.431723533572536  0.000000000000000  0.000000000000000
  0.501306445586711  0.000000000000000  0.249346777206644  0.249346777206644
  0.490537165404268  0.358661958937202  0.075400437829265  0.075400437829265
  0.058634046886539  0.000000000000000  0.470682976556731  0.470682976556731
  0.387211397788196  0.270575278886611  0.171106661662596  0.171106661662596
  0.383283274152482  0.084120525716736  0.266298100065391  0.266298100065391
  0.163211510470111  0.082245794303917  0.377271347612986  0.377271347612986
  0.253577285823235  0.000000000000000  0.373211357088382  0.373211357088382
  1.000000000000000  0.000000000000000  0.000000000000000  0.000000000000000
  0.829915360931470  0.056694879689510  0.056694879689510  0.056694879689510
  0.506101709170130  0.164632763609957  0.164632763609957  0.164632763609957
  0.174475192833927  0.275174935722024  0.275174935722024  0.275174935722024
